gene_name,uniprot,hgnc_symbol,ensembl
EFNA4,P52798,EFNA4,ENSG00000243364
EFNA5,P52803,EFNA5,ENSG00000184349
EFNB1,P98172,EFNB1,ENSG00000090776
EFNB2,P52799,EFNB2,ENSG00000125266
EFNB3,Q15768,EFNB3,ENSG00000108947
EGF,P01133,EGF,ENSG00000138798
EGFR,P00533,EGFR,ENSG00000146648
EPGN,Q6UW88,EPGN,ENSG00000182585
EPHA1,P21709,EPHA1,ENSG00000146904
EPHA1,P21709,EPHA1,ENSG00000284816
EPHA2,P29317,EPHA2,ENSG00000142627
EPHA3,P29320,EPHA3,ENSG00000044524
EPHA4,P54764,EPHA4,ENSG00000116106
EPHA5,P54756,EPHA5,ENSG00000145242
EPHA7,Q15375,EPHA7,ENSG00000135333
EPHA8,P29322,EPHA8,ENSG00000070886
EPHB1,P54762,EPHB1,ENSG00000154928
EPHB2,P29323,EPHB2,ENSG00000133216
EPHB3,P54753,EPHB3,ENSG00000182580
EPHB4,P54760,EPHB4,ENSG00000196411
EPHB6,O15197,EPHB6,ENSG00000275482
EPHB6,O15197,EPHB6,ENSG00000106123
EPO,P01588,EPO,ENSG00000130427
EPOR,P19235,EPOR,ENSG00000187266
ERBB3,P21860,ERBB3,ENSG00000065361
ERBB4,Q15303,ERBB4,ENSG00000178568
EREG,O14944,EREG,ENSG00000124882
FAS,P25445,FAS,ENSG00000026103
FASLG,P48023,FASLG,ENSG00000117560
FBN1,P35555,FBN1,ENSG00000166147
FGF1,P05230,FGF1,ENSG00000113578
FGF2,P09038,FGF2,ENSG00000138685
FGFR1,P11362,FGFR1,ENSG00000077782
FGFR2,P21802,FGFR2,ENSG00000066468
FGFR3,P22607,FGFR3,ENSG00000068078
FGFR4,P22455,FGFR4,ENSG00000160867
FLT1,P17948,FLT1,ENSG00000102755
FLT3,P36888,FLT3,ENSG00000122025
FLT3LG,P49771,FLT3LG,ENSG00000090554
FLT4,P35916,FLT4,ENSG00000037280
FZD1,Q9UP38,FZD1,ENSG00000157240
FZD10,Q9ULW2,FZD10,ENSG00000111432
FZD2,Q14332,FZD2,ENSG00000180340
FZD3,Q9NPG1,FZD3,ENSG00000104290
FZD4,Q9ULV1,FZD4,ENSG00000174804
FZD5,Q13467,FZD5,ENSG00000163251
FZD6,O60353,FZD6,ENSG00000164930
FZD7,O75084,FZD7,ENSG00000155760
FZD9,O00144,FZD9,ENSG00000188763
GDF1,P27539,GDF1,ENSG00000130283
GDF10,P55107,GDF10,ENSG00000266524
GDF11,O95390,GDF11,ENSG00000135414
GDF2,Q9UK05,GDF2,ENSG00000263761
GDF3,Q9NR23,GDF3,ENSG00000184344
GDF5,P43026,GDF5,ENSG00000125965
GDF6,Q6KF10,GDF6,ENSG00000156466
GDF7,Q7Z4P5,GDF7,ENSG00000143869
GDF9,O60383,GDF9,ENSG00000164404
GDNF,P39905,GDNF,ENSG00000168621
GFRA1,P56159,GFRA1,ENSG00000151892
GFRA2,O00451,GFRA2,ENSG00000168546
GFRA3,O60609,GFRA3,ENSG00000146013
GFRA4,Q9GZZ7,GFRA4,ENSG00000125861
HBEGF,Q99075,HBEGF,ENSG00000113070
HCST,Q9UBK5,HCST,ENSG00000126264
HGF,P14210,HGF,ENSG00000019991
ICAM1,P05362,ICAM1,ENSG00000090339
IFNA1,P01562,IFNA1,ENSG00000197919
IFNA10,P01566,IFNA10,ENSG00000186803
IFNA13,P01562,IFNA13,ENSG00000233816
IFNA14,P01570,IFNA14,ENSG00000228083
IFNA16,P05015,IFNA16,ENSG00000147885
IFNA17,P01571,IFNA17,ENSG00000234829
IFNA2,P01563,IFNA2,ENSG00000188379
IFNA21,P01568,IFNA21,ENSG00000137080
IFNA4,P05014,IFNA4,ENSG00000236637
IFNA5,P01569,IFNA5,ENSG00000147873
IFNA6,P05013,IFNA6,ENSG00000120235
IFNA7,P01567,IFNA7,ENSG00000214042
IFNA8,P32881,IFNA8,ENSG00000120242
IFNAR1,P17181,IFNAR1,ENSG00000142166
IFNAR2,P48551,IFNAR2,ENSG00000159110
IFNB1,P01574,IFNB1,ENSG00000171855
IFNE,Q86WN2,IFNE,ENSG00000184995
IFNG,P01579,IFNG,ENSG00000111537
IFNGR1,P15260,IFNGR1,ENSG00000027697
IFNGR2,P38484,IFNGR2,ENSG00000262795
IFNGR2,P38484,IFNGR2,ENSG00000159128
IFNK,Q9P0W0,IFNK,ENSG00000147896
IFNL1,Q8IU54,IFNL1,ENSG00000182393
IFNL2,Q8IZJ0,IFNL2,ENSG00000183709
IFNL3,Q8IZI9,IFNL3,ENSG00000197110
IFNLR1,Q8IU57,IFNLR1,ENSG00000185436
IFNW1,P05000,IFNW1,ENSG00000177047
IGF1,P05019,IGF1,ENSG00000017427
IGF1R,P08069,IGF1R,ENSG00000140443
IGF2,P01344,,ENSG00000284779
IGF2,P01344,IGF2,ENSG00000167244
IGF2R,P11717,IGF2R,ENSG00000197081
IL10,P22301,IL10,ENSG00000136634
IL10RA,Q13651,IL10RA,ENSG00000110324
IL10RB,Q08334,IL10RB,ENSG00000243646
IL11,P20809,IL11,ENSG00000095752
IL11RA,Q14626,IL11RA,ENSG00000137070
IL13,P35225,IL13,ENSG00000169194
IL13RA1,P78552,IL13RA1,ENSG00000131724
IL13RA2,Q14627,IL13RA2,ENSG00000123496
IL15,P40933,IL15,ENSG00000164136
IL17A,Q16552,IL17A,ENSG00000112115
IL17C,Q9P0M4,IL17C,ENSG00000124391
IL17F,Q96PD4,IL17F,ENSG00000112116
IL17RA,Q96F46,IL17RA,ENSG00000177663
IL17RB,Q9NRM6,IL17RB,ENSG00000056736
IL17RC,Q8NAC3,IL17RC,ENSG00000163702
IL17RE,Q8NFR9,IL17RE,ENSG00000163701
IL18,Q14116,IL18,ENSG00000150782
IL18R1,Q13478,IL18R1,ENSG00000115604
IL18RAP,O95256,IL18RAP,ENSG00000115607
IL19,Q9UHD0,IL19,ENSG00000142224
IL1A,P01583,IL1A,ENSG00000115008
IL1B,P01584,IL1B,ENSG00000125538
IL1F10,Q8WWZ1,IL1F10,ENSG00000136697
IL1R1,P14778,IL1R1,ENSG00000115594
IL1R2,P27930,IL1R2,ENSG00000115590
IL1RAP,Q9NPH3,IL1RAP,ENSG00000196083
